,precision,recall,f1-score,support
Apple___Apple_scab,0.9893617021276596,0.9789473684210527,0.9841269841269841,95.0
Apple___Black_rot,1.0,1.0,1.0,93.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,41.0
Apple___healthy,0.9919028340080972,0.9919028340080972,0.9919028340080972,247.0
Blueberry___healthy,0.995575221238938,0.995575221238938,0.995575221238938,226.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,158.0
Cherry_(including_sour)___healthy,1.0,0.9921875,0.996078431372549,128.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.96,0.935064935064935,0.9473684210526315,77.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,179.0
Corn_(maize)___Northern_Leaf_Blight,0.9664429530201343,0.9795918367346939,0.972972972972973,147.0
Corn_(maize)___healthy,0.9943181818181818,1.0,0.9971509971509972,175.0
Grape___Black_rot,1.0,0.9943502824858758,0.9971671388101983,177.0
Grape___Esca_(Black_Measles),0.9951923076923077,1.0,0.9975903614457832,207.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,162.0
Grape___healthy,1.0,1.0,1.0,63.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,826.0
Peach___Bacterial_spot,1.0,1.0,1.0,344.0
Peach___healthy,1.0,1.0,1.0,54.0
"Pepper,_bell___Bacterial_spot",1.0,0.9933333333333333,0.9966555183946488,150.0
"Pepper,_bell___healthy",0.9910313901345291,1.0,0.9954954954954955,221.0
Potato___Early_blight,1.0,1.0,1.0,150.0
Potato___Late_blight,1.0,0.9733333333333334,0.9864864864864865,150.0
Potato___healthy,1.0,0.9565217391304348,0.9777777777777777,23.0
Raspberry___healthy,1.0,1.0,1.0,55.0
Soybean___healthy,1.0,0.9986910994764397,0.9993451211525868,764.0
Squash___Powdery_mildew,1.0,1.0,1.0,275.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,166.0
Strawberry___healthy,1.0,1.0,1.0,68.0
Tomato___Bacterial_spot,0.9968652037617555,0.9968652037617555,0.9968652037617555,319.0
Tomato___Early_blight,0.9733333333333334,0.9733333333333334,0.9733333333333334,150.0
Tomato___Late_blight,0.979381443298969,0.9965034965034965,0.9878682842287695,286.0
Tomato___Leaf_Mold,0.986013986013986,0.986013986013986,0.986013986013986,143.0
Tomato___Septoria_leaf_spot,0.9962406015037594,0.9962406015037594,0.9962406015037594,266.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9130434782608695,1.0,0.9545454545454546,252.0
Tomato___Target_Spot,1.0,0.9004739336492891,0.9476309226932669,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9987531172069826,0.996268656716418,0.9975093399750934,804.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,56.0
Tomato___healthy,1.0,1.0,1.0,238.0
accuracy,0.9932482199852688,0.9932482199852688,0.9932482199852688,0.9932482199852688
macro avg,0.9928277829847236,0.9903999656502412,0.9914658128300412,8146.0
weighted avg,0.9935173653407766,0.9932482199852688,0.9932425111214356,8146.0
